Country,Cases,Deaths,Recoveries,Death Rate,Recovery Rate
Eswatini,6093,119,5771,1.95%,94.72%
Trinidad and Tobago,6077,112,5373,1.84%,88.42%
Guam,5965,93,3942,1.56%,66.09%
Malawi,5964,185,5399,3.1%,90.53%
Andorra,5725,75,4675,1.31%,81.66%
Nicaragua,5661,158,4225,2.79%,74.63%
Djibouti,5645,61,5519,1.08%,97.77%
Congo,5515,92,3887,1.67%,70.48%
Hong Kong,5445,108,5187,1.98%,95.26%
Rwanda,5394,42,4994,0.78%,92.58%
Suriname,5274,114,5148,2.16%,97.61%
Iceland,5186,25,4767,0.48%,91.92%
Equatorial Guinea,5104,85,4973,1.67%,97.43%
Central African Republic,4866,62,1924,1.27%,39.54%
Guyana,4794,138,3725,2.88%,77.7%
Belize,4715,85,2539,1.8%,53.85%
Aruba,4662,44,4534,0.94%,97.25%
Somalia,4301,107,3330,2.49%,77.42%
Uruguay,4030,65,3323,1.61%,82.46%
Thailand,3874,60,3715,1.55%,95.9%
Mali,3868,139,2937,3.59%,75.93%
The Gambia,3702,122,3567,3.3%,96.35%
South Sudan,3003,59,1290,1.96%,42.96%
Benin,2844,43,2515,1.51%,88.43%
Togo,2651,61,1885,2.3%,71.11%
Burkina Faso,2635,68,2426,2.58%,92.07%
Abkhazia,2579,27,1167,1.05%,45.25%
Guinea-Bissau,2419,43,2255,1.78%,93.22%
Sierra Leone,2391,74,1820,3.09%,76.12%
Yemen,2073,605,1399,29.18%,67.49%
Lesotho,2041,44,1056,2.16%,51.74%
Luhansk PR,1669,121,1391,7.25%,83.34%
New Zealand,1645,25,1562,1.52%,94.95%
Chad,1551,99,1394,6.38%,89.88%
Liberia,1452,82,1311,5.65%,90.29%
U.S. Virgin Islands,1405,23,1345,1.64%,95.73%
Curaçao,1340,2,928,0.15%,69.25%
Niger,1246,69,1144,5.54%,91.81%
Vietnam,1226,35,1087,2.85%,88.66%
Somaliland,1188,37,972,3.11%,81.82%
San Marino,1114,42,789,3.77%,70.83%
USS Theodore Roosevelt,1102,1,751,0.09%,68.15%
Charles de Gaulle,1081,0,0,,
Northern Cyprus,976,5,916,0.51%,93.85%
São Tomé and Príncipe,962,16,912,1.66%,94.8%
Sint Maarten,933,24,835,2.57%,89.5%
Gibraltar,887,1,742,0.11%,83.65%
Liechtenstein,801,4,565,0.5%,70.54%
Turks and Caicos Islands,720,6,695,0.83%,96.53%
Diamond Princess,712,14,653,1.97%,91.71%
Jersey,672,32,534,4.76%,79.46%
Taiwan,602,7,536,1.16%,89.04%
Papua New Guinea,599,7,585,1.17%,97.66%
Burundi,589,1,511,0.17%,86.76%
Comoros,563,7,532,1.24%,94.49%
Faroe Islands,497,0,494,,99.4%
Eritrea,491,0,438,,89.21%
Monaco,490,2,369,0.41%,75.31%
Mauritius,453,10,416,2.21%,91.83%
Artsakh,404,2,337,0.5%,83.42%
Bhutan,375,0,353,,94.13%
Mongolia,368,0,31,,8.42%
Isle of Man,359,25,324,6.96%,90.25%
Cambodia,301,0,288,,95.68%
Guernsey,282,13,253,4.61%,89.72%
Cayman Islands,250,1,236,0.4%,94.4%
Barbados,249,7,234,2.81%,93.98%
Bermuda,214,9,182,4.21%,85.05%
Saint Lucia,162,2,46,1.23%,28.4%
Seychelles,153,0,149,,97.39%
Costa Atlantica,148,0,148,,100.0%
Brunei,148,3,143,2.03%,96.62%
Bonaire,134,3,126,2.24%,94.03%
Greg Mortimer,128,1,,0.78%,
Antigua and Barbuda,128,3,117,2.34%,91.41%
Northern Mariana Islands,100,2,19,2.0%,19.0%
South Ossetia,90,0,90,,100.0%
Saint Vincent,78,0,76,,97.44%
British Virgin Islands,71,1,70,1.41%,98.59%
Dominica,68,0,41,,60.29%
Macau,46,0,46,,100.0%
Fiji,35,2,32,5.71%,91.43%
East Timor,30,0,29,,96.67%
Sahrawi Arab DR,28,2,26,7.14%,92.86%
Grenada,28,0,24,,85.71%
New Caledonia,28,0,28,,100.0%
Vatican City,27,0,15,,55.56%
Laos,24,0,23,,95.83%
Saint Kitts and Nevis,19,0,19,,100.0%
Greenland,17,0,17,,100.0%
Saint Pierre and Miquelon,16,0,12,,75.0%
Sint Eustatius,14,0,4,,28.57%
Falkland Islands,13,0,13,,100.0%
Montserrat,13,1,12,7.69%,92.31%
MS Zaandam,13,4,,30.77%,
Solomon Islands,13,0,4,,30.77%
Coral Princess,12,3,,25.0%,
HNLMS Dolfijn,8,0,8,,100.0%
SeaDream I,7,0,,,
Saba,5,0,5,,100.0%
Anguilla,3,0,3,,100.0%
Marshall Islands,2,0,2,,100.0%
Wallis and Futuna,2,0,1,,50.0%
Vanuatu,1,0,0,,
Tanzania,,,,,
